Country Code,Year,Expense (% of GDP),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"Services, value added (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),Merchandise trade (% of GDP),"Government expenditure on education, total (% of GDP)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Forest rents (% of GDP),Current account balance (% of GDP),Current health expenditure (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)",Access to electricity (% of population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (annual % growth)",Total greenhouse gas emissions (% change from 1990)
AUT,1984,35.70513024,32.75101765,-1.072970799,0.1695071198,0.1034193474,0.05127476297,54.22134428,18.96407751,66.5750061,52.02297651,5.294469833,23.77499065,23.83613118,0.2021046837,72.69951818,4.635154599,3.582349704,26.1554148,36.73044321,0.2502535363,8.605660499
AUT,1985,35.57299535,34.92132183,-0.240518653,0.2438042939,0.06269253272,2.498678497,54.58824701,18.10378408,70.08316231,55.0897492,5.297210217,24.44925836,23.73259074,0.2122527572,2.127881583,67.2483592,3.135164806,0.4965016331,36.78251393,-3.349128643,14.08235622
AUT,1986,36.27470207,31.99771479,-0.01916807444,0.1851857934,0.2976200252,2.301393212,55.03606846,17.97233676,64.01459766,49.8514861,5.499959946,23.73376107,24.31856663,0.1692083474,3.512604496,16.67285118,3.226962897,98.56860292,36.6529426,2.057529231,95.36834537
AUT,1987,36.85558376,31.40620496,-0.04131270661,0.3185120067,0.2548096054,1.357168064,55.58785868,17.72008416,62.85372263,48.23447792,5.376110077,24.05756484,24.46367965,0.1377101256,10.87907812,75.50137337,3.197493224,77.19969558,36.66747396,-1.040934691,64.38725221
AUT,1988,37.16994187,33.07092579,-0.4206980189,0.3340551205,0.2125805312,3.295879898,55.73284819,18.56280078,66.56254959,50.4352063,5.190730095,25.60419582,25.21380568,0.145634397,28.89696421,85.00709571,3.048461328,1.738063239,36.9132962,3.051574199,8.393556886
AUT,1989,35.75346368,35.01520285,-0.5079533849,0.4372309586,0.6473289517,3.887074818,56.06704974,17.80575187,70.53835909,53.2553781,5.01816988,26.47053046,25.86665129,0.1758369678,92.8598206,44.42093241,3.01155485,67.41278797,36.94114798,-0.5015769086,7.296011061
AUT,1990,35.59127017,35.69741439,-0.09354069049,0.3922784553,1.021846329,4.345641399,56.10866351,17.98108333,71.48836947,54.31284445,4.957250118,26.68930864,26.14444342,0.1614517112,38.99386435,6.80628172,3.097119874,100,36.61782514,7.622929039,84.10055095
AUT,1991,36.04260989,34.59048817,-0.8674292554,0.2071415764,0.7439834954,3.441627777,56.44930138,18.16717856,70.04840559,52.89360155,5.103219986,26.8975446,26.45378043,0.1080793565,86.25893013,70.30960688,2.811281994,100,36.77524824,-2.985202683,4.290034555
AUT,1992,36.69714892,33.15526772,-1.319632212,0.7614992028,0.9022221001,2.093524617,57.34876287,18.9204805,67.63016766,50.56897032,5.296979904,26.20273658,25.42517529,0.07953633813,91.47088046,4.864652483,2.453334563,100,36.48583192,-2.074945538,-0.7661602228
AUT,1993,38.75647183,31.46389809,-0.3372545947,0.5909800494,0.619051368,0.5268092037,58.39535497,18.93545577,63.26505078,47.17466735,5.251999855,25.24619492,24.6759131,0.07786393457,33.70820925,38.88602864,2.204440796,100,36.31629935,-1.83033697,-0.5623623726
AUT,1994,38.67491633,32.15853394,-1.670025508,1.019883828,0.6097300367,2.402119074,58.17479553,18.34557306,65.9870934,49.24699951,58.74044513,26.08212129,24.86051209,0.0861088767,3.709232256,83.23604153,2.371545895,100,36.25696295,7.801577093,-0.101742356
AUT,1995,48.71840155,33.53314035,-1.190320412,0.7571784341,0.44953559,2.667983531,58.91782259,24.60010617,68.2566011,51.43373842,5.428349972,26.76323229,25.47185233,0.07918609802,61.21039536,98.67665784,2.158596332,100,36.09953984,0.27215988,3.311339926
AUT,1996,48.73865514,34.24927611,-1.585118906,1.822338447,0.7962373723,2.349533852,58.68089384,25.94003601,70.08367112,53.41474951,5.259900093,26.33767296,24.92622474,0.09274533887,46.1513692,75.07367001,1.982470995,100,36.00508598,-0.05694150638,7.278979925
AUT,1997,47.52280264,37.02808274,-0.8115247386,1.254274219,0.9391273692,2.09359939,58.49159639,26.79771217,74.86769022,58.98904764,82.12199242,26.21365746,25.63688324,0.08527454275,12.65012389,88.79019383,1.905483443,100,35.89973359,0.3151945844,6.130459182
